No,Tanggal,Nama File,Durasi (detik),Jam Mulai,Jam Selesai
1,"2025-06-24","colorful-2468874_1280x384.png",15,18:25:04,18:25:20
2,"2025-06-24","colorful-2468874_1280x384.png",30,18:25:20,18:25:50
3,"2025-06-24","colorful-2468874_1280x384.png",30,18:25:50,18:25:50
4,"2025-06-24","colorful-2468874_1280x384.png",15,18:25:50,18:26:05
1,"2025-06-24","VID-20230129-WA0048.mp4",30,18:44:49,18:45:19
2,"2025-06-24","colorful-2468874_1280x384.png",15,18:45:19,18:45:34
3,"2025-06-24","stones-167089_1280x384.png",15,18:45:34,18:45:49
4,"2025-06-24","VID-20230129-WA0048.mp4",30,18:45:49,18:46:20
5,"2025-06-24","colorful-2468874_1280x384.png",15,18:46:20,18:46:35
6,"2025-06-24","stones-167089_1280x384.png",15,18:46:35,18:46:50
7,"2025-06-24","VID-20230129-WA0048.mp4",30,18:46:50,18:47:21
8,"2025-06-24","colorful-2468874_1280x384.png",15,18:47:21,18:47:36
9,"2025-06-24","stones-167089_1280x384.png",15,18:47:36,18:47:51
10,"2025-06-24","VID-20230129-WA0048.mp4",30,18:47:51,18:48:22
11,"2025-06-24","colorful-2468874_1280x384.png",15,18:48:22,18:48:37
12,"2025-06-24","stones-167089_1280x384.png",15,18:48:37,18:48:52
13,"2025-06-24","VID-20230129-WA0048.mp4",30,18:48:52,18:52:32
14,"2025-06-24","VID-20230129-WA0048.mp4",30,18:52:47,18:53:18
15,"2025-06-24","colorful-2468874_1280x384.png",15,18:53:18,18:53:33
16,"2025-06-24","stones-167089_1280x384.png",15,18:53:33,18:53:48
17,"2025-06-24","VID-20230129-WA0048.mp4",30,18:53:48,18:54:19
18,"2025-06-24","colorful-2468874_1280x384.png",15,18:54:19,18:54:34
19,"2025-06-24","stones-167089_1280x384.png",15,18:54:34,18:54:49
20,"2025-06-24","VID-20230129-WA0048.mp4",30,18:54:49,18:55:20
21,"2025-06-24","colorful-2468874_1280x384.png",15,18:55:20,18:55:35
22,"2025-06-24","stones-167089_1280x384.png",15,18:55:35,18:55:50
23,"2025-06-24","VID-20230129-WA0048.mp4",30,19:04:29,19:05:00
